33 chapters, 1314 paragraphs, 176671 chars (core 869) (medium 206) (long 239)
Voice ne-NP-HemkalaNeural  rate -22%  pitch -6Hz  volume -12%

[bedtime] Bedtime: rate -22% pitch -6Hz, one clip per sentence
  · 415 repeated clip(s) will be copied, not re-synthesized
  ✓ ch00-p01-s00  (16 chars, 16KB)
  ✓ ch00-p01-s01  (59 chars, 35KB)
  ✓ ch00-p00-s01  (56 chars, 34KB)
  ✓ ch00-p00-s00  (38 chars, 35KB)
  ✓ ch00-p02-s00  (29 chars, 21KB)
  ✓ ch00-p02-s01  (90 chars, 60KB)
  ✓ ch00-p02-s02  (30 chars, 22KB)
  ✓ ch00-p03-s00  (39 chars, 24KB)
  ✓ ch00-p02-s03  (21 chars, 18KB)
  ✓ ch00-p03-s01  (40 chars, 27KB)
  ✓ ch00-p03-s02  (29 chars, 21KB)
  ✓ ch00-p04-s01  (48 chars, 33KB)
  ✓ ch00-p04-s02  (69 chars, 43KB)
  ✓ ch00-p03-s03  (61 chars, 37KB)
  ✓ ch00-p04-s00  (60 chars, 42KB)
  ✓ ch00-p05-s02  (29 chars, 22KB)
  ✓ ch00-p04-s03  (72 chars, 44KB)
  ✓ ch00-p05-s03  (37 chars, 24KB)
  ✓ ch00-p05-s00  (67 chars, 38KB)
  ✓ ch00-p05-s01  (26 chars, 20KB)
  ✓ ch00-p05-s04  (86 chars, 54KB)
  ✓ ch00-p06-s02  (25 chars, 18KB)
  ✓ ch00-p06-s01  (37 chars, 25KB)
  ✓ ch00-p06-s00  (59 chars, 36KB)
  ✓ ch00-p07-s01  (45 chars, 29KB)
  ✓ ch00-p06-s03  (79 chars, 44KB)
  ✓ ch00-p07-s00  (70 chars, 39KB)
  ✓ ch00-p07-s03  (56 chars, 35KB)
  ✓ ch00-p07-s02  (75 chars, 57KB)
  ✓ ch00-p08-s00  (35 chars, 27KB)
  ✓ ch00-p08-s01  (57 chars, 50KB)
  ✓ ch00-p08-s02  (56 chars, 36KB)
  ✓ ch00-p09-s00  (43 chars, 30KB)
  ✓ ch00-p08-s03  (82 chars, 43KB)
  ✓ ch00-p09-s02  (37 chars, 23KB)
  ✓ ch00-p09-s01  (84 chars, 49KB)
  ✓ ch00-p10-s00  (50 chars, 31KB)
  ✓ ch00-p09-s03  (54 chars, 51KB)
  ✓ ch00-p10-s01  (17 chars, 15KB)
  ✓ ch00-p10-s02  (71 chars, 41KB)
  ✓ ch00-p10-s03  (64 chars, 39KB)
  ✓ ch00-p11-s00  (24 chars, 19KB)
  ✓ ch00-p10-s04  (52 chars, 33KB)
  ✓ ch00-p11-s01  (31 chars, 19KB)
  ✓ ch00-p11-s02  (29 chars, 21KB)
  ✓ ch00-p13-s00  (24 chars, 20KB)
  ✓ ch00-p12-s00  (58 chars, 38KB)
  ✓ ch00-p13-s02  (64 chars, 37KB)
  ✓ ch00-p13-s03  (80 chars, 46KB)
  ✓ ch00-p13-s01  (96 chars, 59KB)
  ✓ ch00-p13-s04  (92 chars, 54KB)
  ✓ ch00-p14-s00  (51 chars, 33KB)
  ✓ ch00-p13-s05  (66 chars, 41KB)
  ✓ ch00-p15-s00  (70 chars, 56KB)
  ✓ ch00-p17-s00  (38 chars, 33KB)
  ✓ ch00-p14-s01  (63 chars, 38KB)
  ✓ ch00-p17-s01  (18 chars, 16KB)
  ✓ ch00-p18-s00  (62 chars, 55KB)
  ✓ ch00-p20-s00  (15 chars, 16KB)
  ✓ ch00-p21-s00  (34 chars, 26KB)
  ✓ ch00-p20-s01  (60 chars, 37KB)
  ✓ ch00-p21-s01  (18 chars, 18KB)
  ✓ ch00-p21-s02  (75 chars, 44KB)
  ✓ ch00-p22-s00  (30 chars, 22KB)
  ✓ ch00-p22-s01  (36 chars, 33KB)
  ✓ ch00-p22-s02  (57 chars, 38KB)
  ✓ ch00-p23-s00  (34 chars, 24KB)
  ✓ ch00-p22-s03  (16 chars, 15KB)
  ✓ ch00-p23-s01  (78 chars, 44KB)
  ✓ ch00-p24-s00  (65 chars, 41KB)
  ✓ ch00-p23-s02  (15 chars, 16KB)
  ✓ ch00-p24-s01  (32 chars, 24KB)
  ✓ ch00-p24-s02  (68 chars, 44KB)
  ✓ ch00-p24-s04  (45 chars, 30KB)
  ✓ ch00-p24-s05  (35 chars, 25KB)
  ✓ ch00-p25-s00  (30 chars, 1KB)
  ✓ ch00-p24-s03  (104 chars, 63KB)
  ✓ ch00-p25-s03  (36 chars, 24KB)
  ✓ ch00-p25-s02  (45 chars, 29KB)
  ✓ ch00-p25-s01  (37 chars, 25KB)
  ✓ ch00-p26-s00  (93 chars, 53KB)
  ✓ ch00-p27-s01  (38 chars, 22KB)
  ✓ ch00-p28-s00  (23 chars, 18KB)
