Building nepali audio with ne-NP-HemkalaNeural (rate -8%, pitch -2Hz)
  ✓ anatomy-of-an-llm-app-1  (8 sentences, 1:1, 404KB)
  ✓ anatomy-of-an-llm-app-2  (10 sentences, 1:1, 427KB)
  ✓ anatomy-of-an-llm-app-3  (7 sentences, 1:1, 355KB)
  ✓ anatomy-of-an-llm-app-4  (6 sentences, 1:1, 363KB)
  ✓ anatomy-of-an-llm-app-0  (11 sentences, 1:1, 398KB)
  ✓ multimodal-models-1  (8 sentences, 1:1, 628KB)
  ✓ multimodal-models-0  (10 sentences, FALLBACK 9vs10, 576KB)
  ✓ multimodal-models-2  (10 sentences, FALLBACK 9vs10, 670KB)
  ✓ multimodal-models-3  (11 sentences, 1:1, 752KB)
  ✓ multimodal-models-4  (14 sentences, 1:1, 785KB)
  ✓ running-local-llms-3  (9 sentences, 1:1, 452KB)
  ✓ running-local-llms-2  (8 sentences, 1:1, 462KB)
  ✓ running-local-llms-1  (7 sentences, 1:1, 460KB)
  ✓ running-local-llms-4  (8 sentences, 1:1, 478KB)
  ✓ running-local-llms-0  (8 sentences, 1:1, 414KB)
  ✓ speech-to-text-and-voice-swap-0  (9 sentences, 1:1, 575KB)
  ✓ speech-to-text-and-voice-swap-2  (8 sentences, 1:1, 559KB)
  ✓ speech-to-text-and-voice-swap-1  (10 sentences, 1:1, 729KB)
  ✓ speech-to-text-and-voice-swap-3  (9 sentences, 1:1, 636KB)
  ✓ structured-outputs-tool-use-0  (11 sentences, 1:1, 590KB)
  ✓ structured-outputs-tool-use-1  (9 sentences, 1:1, 573KB)
  ✓ structured-outputs-tool-use-2  (13 sentences, FALLBACK 12vs13, 641KB)
  ✓ structured-outputs-tool-use-3  (13 sentences, 1:1, 650KB)
  ✓ speech-to-text-and-voice-swap-4  (14 sentences, 1:1, 676KB)
  ✓ structured-outputs-tool-use-4  (12 sentences, 1:1, 624KB)
  ✓ talking-head-fundamentals-0  (9 sentences, 1:1, 716KB)
  ✓ talking-head-fundamentals-2  (12 sentences, 1:1, 740KB)
  ✓ talking-head-fundamentals-1  (10 sentences, 1:1, 768KB)
  ✓ text-to-speech-open-models-0  (12 sentences, 1:1, 585KB)
  ✓ text-to-speech-open-models-2  (10 sentences, 1:1, 586KB)
  ✓ text-to-speech-open-models-1  (11 sentences, 1:1, 697KB)
  ✓ text-to-speech-open-models-3  (12 sentences, 1:1, 741KB)
  ✓ talking-head-fundamentals-4  (8 sentences, 1:1, 722KB)
  ✓ voice-cloning-from-a-sample-0  (11 sentences, 1:1, 660KB)
  ✓ text-to-speech-open-models-4  (9 sentences, 1:1, 582KB)
  ✓ talking-head-fundamentals-3  (12 sentences, 1:1, 787KB)
  ✓ voice-cloning-from-a-sample-1  (10 sentences, 1:1, 651KB)
  ✓ voice-cloning-from-a-sample-3  (14 sentences, 1:1, 869KB)
  ✓ voice-cloning-from-a-sample-2  (8 sentences, FALLBACK 9vs8, 735KB)
  ✓ what-we-are-building-0  (8 sentences, 1:1, 341KB)
  ✓ voice-cloning-from-a-sample-4  (12 sentences, 1:1, 744KB)
  ✓ what-we-are-building-1  (9 sentences, 1:1, 457KB)
  ✓ what-we-are-building-4  (8 sentences, 1:1, 393KB)
  ✓ what-we-are-building-3  (6 sentences, 1:1, 359KB)
  ✓ what-we-are-building-2  (6 sentences, 1:1, 419KB)
opus siblings: 45 (re)encoded

Done: 45 slides, 0 failed. Manifest -> /home/tbaral/portfolio/ai_video_course/data/nepali/audio/manifest.json
