28 chapters, 1081 paragraphs, 136920 chars (core 556) (medium 209) (long 316)
Voice ne-NP-SagarNeural  rate -20%  pitch -3Hz  volume -12%

[bedtime] Bedtime: rate -20% pitch -3Hz, one clip per sentence
  · 354 repeated clip(s) will be copied, not re-synthesized
  ✓ ch01-p00-s01  (39 chars, 27KB)
  ✓ ch01-p00-s00  (29 chars, 22KB)
  ✓ ch01-p01-s01  (19 chars, 16KB)
  ✓ ch01-p01-s00  (22 chars, 17KB)
  ✓ ch01-p00-s02  (73 chars, 40KB)
  ✓ ch01-p02-s00  (52 chars, 31KB)
  ✓ ch01-p01-s02  (24 chars, 17KB)
  ✓ ch01-p02-s01  (24 chars, 17KB)
  ✓ ch01-p03-s00  (30 chars, 21KB)
  ✓ ch01-p04-s00  (37 chars, 25KB)
  ✓ ch01-p03-s01  (49 chars, 44KB)
  ✓ ch01-p04-s01  (19 chars, 16KB)
  ✓ ch01-p02-s02  (72 chars, 40KB)
  ✓ ch01-p04-s03  (49 chars, 29KB)
  ✓ ch01-p04-s02  (33 chars, 21KB)
  ✓ ch01-p05-s01  (18 chars, 15KB)
  ✓ ch01-p05-s00  (23 chars, 18KB)
  ✓ ch01-p05-s02  (87 chars, 47KB)
  ✓ ch01-p06-s01  (44 chars, 27KB)
  ✓ ch01-p06-s00  (32 chars, 21KB)
  ✓ ch01-p06-s02  (65 chars, 36KB)
  ✓ ch01-p07-s00  (20 chars, 16KB)
  ✓ ch01-p07-s01  (28 chars, 19KB)
  ✓ ch01-p08-s00  (14 chars, 14KB)
  ✓ ch01-p08-s01  (35 chars, 23KB)
  ✓ ch01-p09-s00  (35 chars, 23KB)
  ✓ ch01-p08-s02  (57 chars, 46KB)
  ✓ ch01-p08-s03  (88 chars, 49KB)
  ✓ ch01-p09-s02  (52 chars, 32KB)
  ✓ ch01-p09-s01  (88 chars, 50KB)
  ✓ ch01-p10-s00  (54 chars, 31KB)
  ✓ ch01-p10-s01  (17 chars, 16KB)
  ✓ ch01-p11-s01  (28 chars, 18KB)
  ✓ ch01-p11-s00  (74 chars, 41KB)
  ✓ ch01-p11-s03  (80 chars, 55KB)
  ✓ ch01-p11-s04  (62 chars, 50KB)
  ✓ ch01-p12-s00  (25 chars, 20KB)
  ✓ ch01-p12-s01  (36 chars, 23KB)
  ✓ ch01-p11-s05  (84 chars, 45KB)
  ✓ ch01-p12-s02  (27 chars, 18KB)
  ✓ ch01-p13-s00  (31 chars, 20KB)
  ✓ ch01-p11-s02  (105 chars, 69KB)
  ✓ ch01-p13-s02  (47 chars, 29KB)
  ✓ ch01-p14-s00  (31 chars, 22KB)
  ✓ ch01-p13-s01  (115 chars, 73KB)
  ✓ ch01-p14-s01  (73 chars, 39KB)
  ✓ ch01-p14-s02  (20 chars, 16KB)
  ✓ ch01-p14-s03  (52 chars, 30KB)
  ✓ ch01-p15-s01  (30 chars, 21KB)
  ✓ ch01-p15-s00  (35 chars, 24KB)
  ✓ ch01-p17-s00  (21 chars, 18KB)
  ✓ ch01-p17-s01  (30 chars, 22KB)
  ✓ ch01-p18-s00  (48 chars, 43KB)
  ✓ ch01-p20-s00  (47 chars, 29KB)
  ✓ ch01-p20-s01  (20 chars, 17KB)
  ✓ ch01-p21-s00  (32 chars, 22KB)
  ✓ ch01-p21-s01  (21 chars, 18KB)
  ✓ ch01-p21-s03  (29 chars, 22KB)
  ✓ ch01-p21-s02  (75 chars, 52KB)
  ✓ ch01-p22-s00  (43 chars, 28KB)
  ✓ ch01-p22-s01  (47 chars, 28KB)
  ✓ ch01-p23-s00  (17 chars, 15KB)
  ✓ ch01-p22-s02  (41 chars, 25KB)
  ✓ ch01-p23-s01  (29 chars, 22KB)
  ✓ ch01-p23-s02  (38 chars, 41KB)
  ✓ ch01-p23-s04  (65 chars, 36KB)
  ✓ ch01-p24-s00  (23 chars, 18KB)
  ✓ ch01-p23-s03  (53 chars, 32KB)
  ✓ ch01-p24-s01  (40 chars, 26KB)
  ✓ ch01-p24-s03  (27 chars, 19KB)
  ✓ ch01-p24-s02  (78 chars, 44KB)
  ✓ ch01-p25-s01  (30 chars, 22KB)
  ✓ ch01-p25-s00  (51 chars, 29KB)
  ✓ ch01-p26-s00  (35 chars, 24KB)
  ✓ ch01-p26-s01  (38 chars, 25KB)
  ✓ ch01-p25-s02  (92 chars, 50KB)
  ✓ ch01-p26-s02  (61 chars, 36KB)
  ✓ ch01-p27-s00  (64 chars, 38KB)
  ✓ ch01-p27-s01  (51 chars, 29KB)
  ✓ ch01-p28-s00  (23 chars, 18KB)
  ✓ ch01-p27-s02  (24 chars, 17KB)
  ✓ ch01-p28-s02  (26 chars, 18KB)
  ✓ ch01-p28-s01  (26 chars, 19KB)
  ✓ ch01-p28-s03  (71 chars, 38KB)
  ✓ ch01-p28-s04  (23 chars, 17KB)
  ✓ ch01-p29-s00  (37 chars, 25KB)
  ✓ ch01-p29-s02  (50 chars, 30KB)
  ✓ ch01-p29-s01  (52 chars, 31KB)
  ✓ ch01-p30-s00  (46 chars, 28KB)
  ✓ ch01-p30-s02  (42 chars, 26KB)
  ✓ ch01-p31-s00  (19 chars, 16KB)
  ✓ ch01-p31-s01  (25 chars, 19KB)
  ✓ ch01-p30-s01  (91 chars, 51KB)
  ✓ ch01-p31-s03  (20 chars, 16KB)
  ✓ ch01-p31-s02  (43 chars, 26KB)
  ✓ ch01-p32-s01  (26 chars, 20KB)
  ✓ ch01-p32-s00  (45 chars, 28KB)
  ✓ ch02-p00-s00  (34 chars, 21KB)
  ✓ ch01-p32-s02  (27 chars, 19KB)
  ✓ ch02-p00-s01  (63 chars, 36KB)
  ✓ ch02-p01-s00  (36 chars, 25KB)
  ✓ ch02-p01-s02  (94 chars, 64KB)
  ✓ ch02-p01-s01  (47 chars, 29KB)
  ✓ ch02-p02-s00  (52 chars, 33KB)
  ✓ ch02-p03-s02  (26 chars, 19KB)
  ✓ ch02-p03-s00  (31 chars, 22KB)
  ✓ ch02-p03-s03  (63 chars, 33KB)
  ✓ ch02-p03-s01  (63 chars, 69KB)
  ✓ ch02-p04-s00  (31 chars, 22KB)
  ✓ ch02-p04-s02  (19 chars, 16KB)
  ✓ ch02-p04-s03  (47 chars, 27KB)
  ✓ ch02-p04-s01  (70 chars, 58KB)
  ✓ ch02-p06-s00  (42 chars, 25KB)
  ✓ ch02-p05-s00  (74 chars, 40KB)
  ✓ ch02-p05-s01  (72 chars, 41KB)
  ✓ ch02-p06-s01  (43 chars, 26KB)
  ✓ ch02-p06-s02  (51 chars, 30KB)
  ✓ ch02-p07-s01  (50 chars, 29KB)
  ✓ ch02-p06-s03  (46 chars, 27KB)
  ✓ ch02-p08-s00  (24 chars, 18KB)
  ✓ ch02-p07-s00  (59 chars, 34KB)
  ✓ ch02-p09-s00  (38 chars, 25KB)
  ✓ ch02-p09-s01  (101 chars, 73KB)
  ✓ ch02-p09-s03  (114 chars, 59KB)
  ✓ ch02-p09-s04  (119 chars, 63KB)
  ✓ ch02-p09-s02  (113 chars, 79KB)
  ✓ ch02-p10-s00  (50 chars, 30KB)
  ✓ ch02-p10-s01  (31 chars, 20KB)
  ✓ ch02-p11-s00  (23 chars, 19KB)
  ✓ ch02-p10-s02  (43 chars, 26KB)
  ✓ ch02-p11-s01  (54 chars, 31KB)
  ✓ ch02-p12-s00  (34 chars, 23KB)
  ✓ ch02-p11-s02  (84 chars, 45KB)
  ✓ ch02-p12-s01  (88 chars, 46KB)
  ✓ ch02-p12-s02  (59 chars, 31KB)
  ✓ ch02-p13-s00  (30 chars, 20KB)
  ✓ ch02-p13-s01  (42 chars, 26KB)
  ✓ ch02-p15-s00  (20 chars, 17KB)
  ✓ ch02-p15-s01  (45 chars, 28KB)
  ✓ ch02-p18-s00  (24 chars, 18KB)
  ✓ ch02-p18-s01  (40 chars, 26KB)
  ✓ ch02-p18-s02  (27 chars, 20KB)
  ✓ ch02-p16-s00  (49 chars, 42KB)
  ✓ ch02-p19-s00  (49 chars, 30KB)
  ✓ ch02-p19-s02  (52 chars, 30KB)
  ✓ ch02-p19-s01  (51 chars, 28KB)
  ✓ ch02-p20-s00  (31 chars, 21KB)
  ✓ ch02-p20-s01  (58 chars, 32KB)
  ✓ ch02-p20-s02  (82 chars, 41KB)
  ✓ ch02-p21-s00  (31 chars, 22KB)
  ✓ ch02-p21-s01  (36 chars, 23KB)
  ✓ ch02-p20-s03  (85 chars, 47KB)
  ✓ ch02-p21-s02  (61 chars, 35KB)
  ✓ ch02-p22-s00  (22 chars, 17KB)
  ✓ ch02-p22-s02  (47 chars, 30KB)
  ✓ ch02-p23-s00  (49 chars, 29KB)
  ✓ ch02-p22-s03  (52 chars, 32KB)
  ✓ ch02-p22-s01  (87 chars, 45KB)
  ✓ ch02-p23-s01  (36 chars, 24KB)
  ✓ ch02-p23-s02  (72 chars, 40KB)
  ✓ ch02-p24-s00  (17 chars, 15KB)
  ✓ ch02-p24-s01  (35 chars, 23KB)
  ✓ ch02-p23-s03  (51 chars, 30KB)
  ✓ ch02-p24-s02  (37 chars, 22KB)
  ✓ ch02-p25-s01  (16 chars, 14KB)
  ✓ ch02-p25-s00  (62 chars, 36KB)
  ✓ ch02-p25-s02  (60 chars, 34KB)
  ✓ ch02-p26-s01  (35 chars, 23KB)
  ✓ ch02-p26-s00  (52 chars, 31KB)
  ✓ ch02-p26-s02  (44 chars, 27KB)
  ✓ ch02-p27-s00  (38 chars, 24KB)
  ✓ ch02-p27-s01  (51 chars, 29KB)
  ✓ ch02-p27-s02  (36 chars, 26KB)
  ✓ ch02-p27-s03  (63 chars, 37KB)
  ✓ ch02-p26-s03  (73 chars, 42KB)
  ✓ ch02-p28-s00  (25 chars, 19KB)
  ✓ ch02-p28-s02  (57 chars, 33KB)
  ✓ ch02-p29-s00  (38 chars, 24KB)
  ✓ ch02-p28-s01  (46 chars, 26KB)
  ✓ ch02-p29-s01  (45 chars, 28KB)
  ✓ ch02-p30-s00  (32 chars, 21KB)
  ✓ ch02-p29-s03  (46 chars, 27KB)
  ✓ ch02-p29-s02  (31 chars, 21KB)
  ✓ ch02-p30-s03  (43 chars, 26KB)
  ✓ ch02-p30-s02  (49 chars, 29KB)
  ✓ ch02-p30-s01  (44 chars, 28KB)
  ✓ ch02-p31-s00  (45 chars, 25KB)
  ✓ ch02-p31-s01  (75 chars, 42KB)
  ✓ ch02-p32-s00  (30 chars, 21KB)
  ✓ ch03-p00-s00  (19 chars, 17KB)
  ✓ ch03-p00-s01  (22 chars, 19KB)
  ✓ ch02-p32-s02  (26 chars, 18KB)
  ✓ ch02-p32-s01  (24 chars, 19KB)
  ✓ ch03-p01-s00  (47 chars, 29KB)
  ✓ ch03-p00-s02  (67 chars, 38KB)
  ✓ ch03-p03-s00  (18 chars, 15KB)
  ✓ ch03-p02-s00  (63 chars, 37KB)
  ✓ ch03-p03-s02  (52 chars, 32KB)
  ✓ ch03-p03-s01  (33 chars, 22KB)
